name,title,medium,year,size,sale,sold,estimate
Bikash Bhattacharjee,In Her Office,oil on canvas,1979,Height 35.9 in.; Width 36.3 in. / Height 91.1 cm.; Width 92.1 cm.,"Christie's New York: Wednesday, September 23, 2020 [Lot 00452]
A Lasting Engagement: The Jane and Kito de Boer Collection","50,000 USD Premium","50,000 - 70,000 USD ?"
Indian School-Bengal (19),"Untitled (Court Scene with Shiva, Brahma and Krishna)",oil on canvas,Circa 1875-1899,Height 30 in.; Width 41 in. / Height 76.2 cm.; Width 104.1 cm.,"20,000 - 30,000 USD ?",,"62,500 USD Premium ?"
Avinash Chandra,Untitled,oil on board,Circa 1960-1969,Height 35.7 in.; Width 60 in. / Height 90.8 cm.; Width 152.4 cm.,"40,000 - 60,000 USD ?",,"43,750 USD Premium ?"
Rameshwar Broota,Silent Structures,oil on canvas,1991,Height 47 in.; Width 47 in. / Height 119.4 cm.; Width 119.4 cm.,"Christie's New York: Wednesday, September 23, 2020 [Lot 00415]
A Lasting Engagement: The Jane and Kito de Boer Collection","525,000 USD Premium","200,000 - 300,000 USD ?"
Atul Dodiya,Winter Light,oil on canvas,1987,Height 19.8 in.; Width 19.8 in. / Height 50.2 cm.; Width 50.2 cm.,"Christie's New York: Wednesday, September 23, 2020 [Lot 00417]
A Lasting Engagement: The Jane and Kito de Boer Collection","30,000 USD Premium","30,000 - 50,000 USD ?"
Bikash Bhattacharjee,Boy from Simla,oil on canvas laid on board,1982,Height 32.8 in.; Width 32.9 in. / Height 83.2 cm.; Width 83.5 cm.,"Christie's New York: Wednesday, September 23, 2020 [Lot 00431]
A Lasting Engagement: The Jane and Kito de Boer Collection",Bought In,"60,000 - 80,000 USD ?"
Attingal Ramachandran,The Cage,oil on canvas,1975,Height 51 in.; Width 51 in. / Height 129.5 cm.; Width 129.5 cm.,"Christie's New York: Wednesday, September 23, 2020 [Lot 00436]
A Lasting Engagement: The Jane and Kito de Boer Collection","62,500 USD Premium","50,000 - 70,000 USD ?"
Attingal Ramachandran,Visions of Ramdev - Ahalya in Red,oil on canvas,2001,Height 80 in.; Width 56 in. / Height 203.2 cm.; Width 142.2 cm.,"Christie's New York: Wednesday, September 23, 2020 [Lot 00438]
A Lasting Engagement: The Jane and Kito de Boer Collection",Bought In,"80,000 - 120,000 USD ?"
Raghu Rai,"Wrestlers near Howrah Bridge, Kolkata",gelatin silver print,2004,Height 20 in.; Width 55.2 in. / Height 50.8 cm.; Width 140.3 cm.,"Signed, Inscribed","5,000 - 7,000 USD",
Akbar Padamsee,Paysage,oil on board,1961,Height 39.1 in.; Width 39.8 in. / Height 99.4 cm.; Width 101 cm.,"Christie's New York: Wednesday, September 23, 2020 [Lot 00471]
A Lasting Engagement: The Jane and Kito de Boer Collection",Bought In,"300,000 - 500,000 USD ?"
Jagdish Swaminathan,"Untitled (Bird, Tree and Mountain Series)",oil on canvas,1986,Height 45.7 in.; Width 31.7 in. / Height 116.2 cm.; Width 80.6 cm.,"Christie's New York: Wednesday, September 23, 2020 [Lot 00472]
A Lasting Engagement: The Jane and Kito de Boer Collection","100,000 USD Premium","70,000 - 90,000 USD ?"
Biren De,Widows,oil on canvas,1957,Height 26.7 in.; Width 42.2 in. / Height 67.9 cm.; Width 107.3 cm.,"Christie's New York: Wednesday, September 23, 2020 [Lot 00476]
A Lasting Engagement: The Jane and Kito de Boer Collection","68,750 USD Premium","30,000 - 50,000 USD ?"
Rameshwar Broota,Confrontation III,oil on canvas,2001,Height 99.8 in.; Width 99.5 in. / Height 253.4 cm.; Width 252.7 cm.,"250,000 - 350,000 USD ?",,Bought In
Badhan Das,Untitled,mixed media on canvas,Circa 1990-1999,Height 53.7 in.; Width 53.7 in. / Height 136.5 cm.; Width 136.5 cm.,"Christie's New York: Wednesday, September 23, 2020 [Lot 00416]
A Lasting Engagement: The Jane and Kito de Boer Collection","6,875 USD Premium","3,000 - 5,000 USD ?"
Rameshwar Broota,The Trial,oil on canvas,1978,Height 55 in.; Width 55 in. / Height 139.7 cm.; Width 139.7 cm.,"Christie's New York: Wednesday, September 23, 2020 [Lot 00418]
A Lasting Engagement: The Jane and Kito de Boer Collection","150,000 USD Premium","100,000 - 150,000 USD ?"
Hemen Mazumdar,Untitled (Portrait of Mrs. Sinha),oil on canvas,Height 26 in.; Width 22 in. / Height 66 cm.; Width 55.9 cm.,Signed,"30,000 - 50,000 USD ?",,Bought In
Rabin Mondal,Brothel-I,oil on canvas,1962,Height 43.3 in.; Width 33.1 in. / Height 110 cm.; Width 84 cm.,"Christie's New York: Wednesday, September 23, 2020 [Lot 00435]
A Lasting Engagement: The Jane and Kito de Boer Collection","20,000 USD Premium","10,000 - 15,000 USD ?"
Indian School-Bengal (19),Untitled (The Disrobing of Draupadi),one painting and two prints on paper,Circa 1875-1899,Height 29.8 in.; Width 41.7 in. / Height 75.6 cm.; Width 106 cm.,"20,000 - 30,000 USD ?",,"75,000 USD Premium ?"
Rameshwar Broota,The Last Chapter,oil on canvas,1982,Height 70 in.; Width 49.9 in. / Height 177.8 cm.; Width 126.7 cm.,"Christie's New York: Wednesday, September 23, 2020 [Lot 00465]
A Lasting Engagement: The Jane and Kito de Boer Collection","287,500 USD Premium","250,000 - 350,000 USD ?"
Biren De,January,oil on canvas,1992,Height 44 in.; Width 38 in. / Height 111.8 cm.; Width 96.5 cm.,"Christie's New York: Wednesday, September 23, 2020 [Lot 00473]
A Lasting Engagement: The Jane and Kito de Boer Collection","32,500 USD Premium","18,000 - 25,000 USD ?"
Hiroshi Yoshida,Ship at Harima Shipyard,oil on canvas,1944,Height 23.3 in.; Width 30.7 in. / Height 59.1 cm.; Width 78.1 cm.,"Christie's New York: Tuesday, September 22, 2020 [Lot 00224]
Japanese and Korean Art","22,500 USD Premium","20,000 - 25,000 USD ?"
Kawanabe Kyosai,Yokihi (Yang Guifei),"Hanging scroll; ink, color, gold and gold leaf on silk",Height 54.4 in.; Width 28 in. / Height 138.1 cm.; Width 71.1 cm.,Signed,"30,000 - 40,000 USD ?",,Bought In
Utagawa Hiroshige,Ochanomizu in Snow,ink and light color on silk,Height 43.1 in.; Width 15.7 in. / Height 109.5 cm.; Width 40 cm.,"Signed, Inscribed","20,000 - 30,000 USD ?",,"40,000 USD Premium ?"
Anonymous-Korean (17),Gathering of Officials from the Office of the Inspector-General,Hanging scoll; ink on silk,Height 13.6 in.; Width 22.2 in. / Height 34.6 cm.; Width 56.5 cm.,Signed,"20,000 - 30,000 USD ?",,Bought In
Nagasawa Rosetsu,Cranes in Snow,Hanging scroll; ink and color on silk,Height 40.5 in.; Width 13 in. / Height 102.9 cm.; Width 33 cm.,Signed,"20,000 - 30,000 USD ?",,"25,000 USD Premium ?"
Maruyama Oshin,Red Parrot on Perch,"Hanging scroll; ink, color and gold on silk",Height 50.8 in.; Width 20.1 in. / Height 129 cm.; Width 51 cm.,Signed,"3,000 - 4,000 USD ?",,"5,250 USD Premium ?"
Kokuta Suda,"Untitled, 1961",Oil on canvas,1961,Height 23.8 in.; Width 17.8 in. / Height 60.4 cm.; Width 45.2 cm.,"Christie's New York: Tuesday, September 22, 2020 [Lot 00017]
Japanese and Korean Art","12,500 USD Premium","10,000 - 15,000 USD ?"
Circle of Kim HongDo,Hunting Scene,"Eight-panel screen; ink, color and gold on silk",Height 38.3 in.; Width 138.7 in. / Height 97.2 cm.; Width 352.2 cm.,"Christie's New York: Tuesday, September 22, 2020 [Lot 00258]
Japanese and Korean Art","930,000 USD Premium ?",,
Claudio Bravo,Package,oil and pastel on paper mounted on board,1969,Height 43.3 in.; Width 29.5 in. / Height 109.9 cm.; Width 74.9 cm.,"Christie's New York: Thursday, July 30, 2020 [Lot 00004]
Latin American Art","300,000 USD Premium","300,000 - 500,000 USD ?"
Gunther Gerzso,Mitología,oil on canvas,1961,Height 21.5 in.; Width 32 in. / Height 54.6 cm.; Width 81.3 cm.,"Christie's New York: Thursday, July 30, 2020 [Lot 00009]
Latin American Art","75,000 USD Premium","80,000 - 120,000 USD ?"
Mario Carreño,Totem siglo XX,oil on canvas,1973,Height 33.5 in.; Width 47.2 in. / Height 85 cm.; Width 120 cm.,"Christie's New York: Thursday, July 30, 2020 [Lot 00011]
Latin American Art","52,500 USD Premium","40,000 - 60,000 USD ?"
Carlos Cruz-Diez,Physichromie No. 2266,painted PVC and acrylic strips mounted on wood with aluminum frame,1989,Height 31.5 in.; Width 94.5 in.; Depth 1.5 in. / Height 80 cm.; Width 240 cm.; Depth 3.8 cm.,"Christie's New York: Thursday, July 30, 2020 [Lot 00019]
Latin American Art","250,000 USD Premium","200,000 - 300,000 USD ?"
Fernando de Szyszlo,Paracas,oil on canvas,2002,Height 59.1 in.; Width 47.2 in. / Height 150 cm.; Width 120 cm.,"Christie's New York: Thursday, July 30, 2020 [Lot 00022]
Latin American Art","68,750 USD Premium","60,000 - 80,000 USD ?"
Wifredo Lam,Femme Cheval,oil on canvas,1950,Height 51.2 in.; Width 37.3 in. / Height 130 cm.; Width 94.7 cm.,"Christie's New York: Thursday, July 30, 2020 [Lot 00030]
Latin American Art","2,415,000 USD Premium","2,000,000 - 3,000,000 USD ?"
Amelia Peláez,Still Life,gouache on paper laid on board,1954,Height 30.5 in.; Width 40.2 in. / Height 77.5 cm.; Width 102 cm.,"Christie's New York: Thursday, July 30, 2020 [Lot 00032]
Latin American Art","112,500 USD Premium","50,000 - 70,000 USD ?"
Tomás Sánchez,Buscador de paisajes,acrylic on canvas,2005,Height 48.1 in.; Width 66.6 in. / Height 122.2 cm.; Width 169.2 cm.,"Christie's New York: Thursday, July 30, 2020 [Lot 00035]
Latin American Art",Bought In,"500,000 - 700,000 USD ?"
Candido Portinari,Untitled,oil on canvas,1961,Height 24.3 in.; Width 19.8 in. / Height 61.6 cm.; Width 50.2 cm.,"Christie's New York: Thursday, July 30, 2020 [Lot 00045]
Latin American Art",Bought In,"200,000 - 300,000 USD ?"
Rufino Tamayo,Paisaje,oil on canvas,1960,Height 13 in.; Width 21.5 in. / Height 33 cm.; Width 54.6 cm.,"Christie's New York: Thursday, July 30, 2020 [Lot 00052]
Latin American Art","87,500 USD Premium","70,000 - 90,000 USD ?"
Rodolfo Morales,Untitled,oil on canvas,1975,Height 25.7 in.; Width 31.5 in. / Height 65.4 cm.; Width 80 cm.,"Christie's New York: Thursday, July 30, 2020 [Lot 00054]
Latin American Art",Bought In,"60,000 - 80,000 USD ?"
Rodolfo Morales,Pájaro azul,oil on canvas,1998,Height 31.5 in.; Width 39 in. / Height 80 cm.; Width 99 cm.,"Christie's New York: Thursday, July 30, 2020 [Lot 00055]
Latin American Art",Bought In,"60,000 - 80,000 USD ?"
Roberto Fabelo,Viaje al jardín fantástico,oil on canvas,2016,Height 80.7 in.; Width 140.2 in. / Height 205.1 cm.; Width 356.2 cm.,"Christie's New York: Thursday, July 30, 2020 [Lot 00060]
Latin American Art","399,000 USD Premium","150,000 - 200,000 USD ?"
Benito Quinquela Martín,Llegada de veleros,oil on masonite,1944,Height 23.6 in.; Width 27.6 in. / Height 60 cm.; Width 70.2 cm.,"Christie's New York: Thursday, July 30, 2020 [Lot 00064]
Latin American Art",Bought In,"20,000 - 25,000 USD ?"
Fernando de Szyszlo,Ciudad prohibida (IV),acrylic on canvas,1976,Height 58.8 in.; Width 47.3 in. / Height 149.4 cm.; Width 120.2 cm.,"Christie's New York: Thursday, July 30, 2020 [Lot 00091]
Latin American Art","30,000 USD Premium","30,000 - 40,000 USD ?"
Fernando de Szyszlo,La habitación no. 23,acrylic on canvas,1994,Height 39.3 in.; Width 39.3 in. / Height 99.8 cm.; Width 99.8 cm.,"Christie's New York: Thursday, July 30, 2020 [Lot 00098]
Latin American Art",Bought In,"30,000 - 40,000 USD ?"
Carlos Cruz-Diez,Physichromie 2232,"silkscreen, painted PVC and acrylic strips in aluminum frame",1988,Height 19.7 in.; Width 78.7 in.; Depth 1.6 in. / Height 50 cm.; Width 200 cm.; Depth 4.1 cm.,"Christie's New York: Thursday, July 30, 2020 [Lot 00101]
Latin American Art",Bought In,"200,000 - 300,000 USD ?"
Ana Mercedes Hoyos,Bodegón,oil on canvas,1987,Height 59.1 in.; Width 59.1 in. / Height 150 cm.; Width 150 cm.,"Christie's New York: Thursday, July 30, 2020 [Lot 00110]
Latin American Art","40,000 USD Premium","40,000 - 60,000 USD ?"
Antonio Seguí,Untitled,"oil, newsprint and paper on canvas",1992,Height 19.5 in.; Width 59.1 in. / Height 49.5 cm.; Width 150 cm.,"Christie's New York: Thursday, July 30, 2020 [Lot 00113]
Latin American Art",Bought In,"25,000 - 30,000 USD ?"
Armando Morales,"Paysage: Deux nus, bicyclettes, trois bateaux au fond",oil and beeswax on canvas,1982-1988,Height 16.1 in.; Width 13 in. / Height 41 cm.; Width 33 cm.,"Christie's New York: Thursday, July 30, 2020 [Lot 00117]
Latin American Art","6,000 USD Premium","20,000 - 25,000 USD ?"
Tomás Sánchez,Meditación frente a la cascada,acrylic on canvas,1993,Height 17.3 in.; Width 8.7 in. / Height 44 cm.; Width 22 cm.,"Christie's New York: Thursday, July 30, 2020 [Lot 00001]
Latin American Art","81,250 USD Premium","40,000 - 60,000 USD ?"
Fernando Botero,Good Morning,oil on canvas,2006,Height 51.3 in.; Width 59.3 in. / Height 130.2 cm.; Width 150.5 cm.,"Christie's New York: Thursday, July 30, 2020 [Lot 00006]
Latin American Art",Bought In,"500,000 - 700,000 USD ?"
Mathias Goeritz,Mensaje,perforated sheet metal and nails on painted wood,Height 24 in.; Width 48 in. / Height 61 cm.; Width 121.9 cm.,Signed,"120,000 - 180,000 USD ?",,"125,000 USD Premium ?"
Armando Morales,Étude: Forêt tropicale III,oil on canvas,1986,Height 19.5 in.; Width 24 in. / Height 49.5 cm.; Width 61 cm.,"Christie's New York: Thursday, July 30, 2020 [Lot 00012]
Latin American Art",Bought In,"60,000 - 80,000 USD ?"
Fernando Botero,Untitled,oil on canvas,2004,Height 52 in.; Width 39 in. / Height 132.1 cm.; Width 99.1 cm.,"Christie's New York: Thursday, July 30, 2020 [Lot 00014]
Latin American Art","375,000 USD Premium","300,000 - 400,000 USD ?"
Tomás Sánchez,Contemplación compartida en la laguna,acrylic on canvas,1994,Height 12 in.; Width 36 in. / Height 30.5 cm.; Width 91.4 cm.,"Christie's New York: Thursday, July 30, 2020 [Lot 00021]
Latin American Art","93,750 USD Premium","70,000 - 90,000 USD ?"
Leonora Carrington,La joie de patinage (The Joy of Skating),oil on canvas,1941,Height 18 in.; Width 24 in. / Height 45.7 cm.; Width 61 cm.,"Christie's New York: Thursday, July 30, 2020 [Lot 00025]
Latin American Art","519,000 USD Premium","400,000 - 600,000 USD ?"
Wifredo Lam,El gallo y la gallina,ink and gouache on canvas,1955,Height 24.4 in.; Width 31.1 in. / Height 62 cm.; Width 79 cm.,"Christie's New York: Thursday, July 30, 2020 [Lot 00033]
Latin American Art","200,000 USD Premium","180,000 - 220,000 USD ?"
Fernando Botero,Still Life with Bananas,oil on canvas,1978,Height 30.5 in.; Width 35.5 in. / Height 77.5 cm.; Width 90.2 cm.,"Christie's New York: Thursday, July 30, 2020 [Lot 00034]
Latin American Art",Bought In,"250,000 - 350,000 USD ?"
Alfredo Ramos Martínez,La India,oil on canvas,Circa 1930-1939,Height 50 in.; Width 42.1 in. / Height 127 cm.; Width 107 cm.,"Christie's New York: Thursday, July 30, 2020 [Lot 00040]
Latin American Art","939,000 USD Premium","800,000 - 1,200,000 USD ?"
Wifredo Lam,Untitled (also known as Cabeza adornada con pájaro),oil on canvas,1972,Height 13.8 in.; Width 17.5 in. / Height 35 cm.; Width 44.5 cm.,"Christie's New York: Thursday, July 30, 2020 [Lot 00047]
Latin American Art",Bought In,"60,000 - 80,000 USD ?"
Gunther Gerzso,Trópico calizo,oil on canvas,1992,Height 32 in.; Width 39.5 in. / Height 81.3 cm.; Width 100.3 cm.,"Christie's New York: Thursday, July 30, 2020 [Lot 00049]
Latin American Art","137,500 USD Premium","70,000 - 90,000 USD ?"
Francisco Toledo,Vaca en un laberinto,oil and sand on canvas,1970,Height 81.1 in.; Width 59.1 in. / Height 206 cm.; Width 150 cm.,"700,000 - 900,000 USD ?",,Bought In
Manuel Mendive,La Virgen Mambisa,acrylic on canvas,2016,Height 65.7 in.; Width 53.7 in. / Height 167 cm.; Width 136.5 cm.,"Christie's New York: Thursday, July 30, 2020 [Lot 00059]
Latin American Art","62,500 USD Premium","60,000 - 80,000 USD ?"
Fernando de Szyszlo,Villac Umu (from the series Cámara ritual),acrylic on canvas,1986,Height 39.4 in.; Width 39.4 in. / Height 100 cm.; Width 100 cm.,"Christie's New York: Thursday, July 30, 2020 [Lot 00084]
Latin American Art","30,000 USD Premium","30,000 - 40,000 USD ?"
Rafael Coronel,Bernabe el zapatero,oil on canvas,1966,Height 47.8 in.; Width 39.5 in. / Height 121.3 cm.; Width 100.3 cm.,"Christie's New York: Thursday, July 30, 2020 [Lot 00089]
Latin American Art",Bought In,"20,000 - 30,000 USD ?"
Alejandro Obregón,Flor carnívora,oil on wood,1977,Height 21.7 in.; Width 16.5 in. / Height 55 cm.; Width 42 cm.,"Christie's New York: Thursday, July 30, 2020 [Lot 00092]
Latin American Art","50,000 USD Premium","20,000 - 25,000 USD ?"
Zilia Sanchez,Untitled (Agua),oil on canvas,1961,Height 38.3 in.; Width 37.8 in. / Height 97.2 cm.; Width 96 cm.,"Christie's New York: Thursday, July 30, 2020 [Lot 00096]
Latin American Art",Bought In,"50,000 - 70,000 USD ?"
Carlos Cruz-Diez,Physichromie 1345,"silkscreen, paintd PVC and acrylic strips on wood with aluminum frame",2001,Height 16.7 in.; Width 19.9 in.; Depth 1.6 in. / Height 42.5 cm.; Width 50.5 cm.; Depth 4.1 cm.,"Christie's New York: Thursday, July 30, 2020 [Lot 00104]
Latin American Art","50,000 USD Premium","40,000 - 60,000 USD ?"
Roberto Fabelo,Sirena,acrylic on embroidered silk,2013,Height 59.1 in.; Width 39.4 in. / Height 150 cm.; Width 100 cm.,"Christie's New York: Thursday, July 30, 2020 [Lot 00116]
Latin American Art",Bought In,"40,000 - 60,000 USD ?"
Oswaldo Guayasamín,The Violinist,oil on canvas,1967,Height 51.7 in.; Width 19.8 in. / Height 131.4 cm.; Width 50.2 cm.,"Christie's New York: Thursday, July 30, 2020 [Lot 00002]
Latin American Art","93,750 USD Premium","70,000 - 90,000 USD ?"
Armando Morales,"Adios a Sandino, I",oil on canvas,1985,Height 79.5 in.; Width 63.8 in. / Height 202 cm.; Width 162 cm.,"Christie's New York: Thursday, July 30, 2020 [Lot 00003]
Latin American Art","187,500 USD Premium","180,000 - 220,000 USD ?"
Rufino Tamayo,Paisaje soleado,oil and sand on canvas,1960,Height 15 in.; Width 18.3 in. / Height 38.1 cm.; Width 46.4 cm.,"Christie's New York: Thursday, July 30, 2020 [Lot 00007]
Latin American Art","68,750 USD Premium","50,000 - 70,000 USD ?"
Olga de Amaral,Sol cuadrado 10,"gold leaf, gesso and linen",1994,Height 35.4 in.; Width 35.4 in. / Height 90 cm.; Width 90 cm.,"Christie's New York: Thursday, July 30, 2020 [Lot 00015]
Latin American Art",Bought In,"120,000 - 180,000 USD ?"
Wifredo Lam,Untitled,gouache on paper laid down on canvas,Circa 1937,Height 38.6 in.; Width 29.5 in. / Height 98 cm.; Width 74.9 cm.,"250,000 - 350,000 USD ?",,Bought In
Rufino Tamayo,Dos amantes contemplando la luna,oil on canvas,1950,Height 31.9 in.; Width 39.4 in. / Height 81 cm.; Width 100 cm.,"Christie's New York: Thursday, July 30, 2020 [Lot 00027]
Latin American Art","2,295,000 USD Premium","2,000,000 - 3,000,000 USD ?"
Mario Carreño,Figuras en el palmar (also known as Under the Palm Trees),oil on canvas,1947,Height 20.1 in.; Width 24 in. / Height 51 cm.; Width 61 cm.,"Christie's New York: Thursday, July 30, 2020 [Lot 00029]
Latin American Art","225,000 USD Premium","180,000 - 220,000 USD ?"
Claudio Bravo,Calabazas verdes,oil on canvas,1992,Height 37.8 in.; Width 51 in. / Height 95.9 cm.; Width 129.5 cm.,"Christie's New York: Thursday, July 30, 2020 [Lot 00036]
Latin American Art",Bought In,"200,000 - 300,000 USD ?"
Diego Rivera,Retrato de Inesita Martínez,oil on canvas,1939,Height 32 in.; Width 24.5 in. / Height 81.3 cm.; Width 62.2 cm.,"Christie's New York: Thursday, July 30, 2020 [Lot 00043]
Latin American Art","250,000 USD Premium","250,000 - 350,000 USD ?"
Benito Quinquela Martín,Buque en descarga (En pleno trabajo),oil on canvas,1923,Height 51.2 in.; Width 55.4 in. / Height 130.1 cm.; Width 140.7 cm.,"Christie's New York: Thursday, July 30, 2020 [Lot 00044]
Latin American Art",Bought In,"180,000 - 200,000 USD ?"
René Portocarrero,Catedral,oil on canvas,1960,Height 35.8 in.; Width 24 in. / Height 91 cm.; Width 61 cm.,"Christie's New York: Thursday, July 30, 2020 [Lot 00056]
Latin American Art","30,000 USD Premium","30,000 - 40,000 USD ?"
Benito Quinquela Martín,Sunny Day on the Boca,oil on board,1930,Height 19.8 in.; Width 27.8 in. / Height 50.2 cm.; Width 70.5 cm.,"Christie's New York: Thursday, July 30, 2020 [Lot 00065]
Latin American Art",Bought In,"20,000 - 25,000 USD ?"
Eduardo Kingman,El espejo,oil on canvas,1946,Height 19 in.; Width 19 in. / Height 48.3 cm.; Width 48.3 cm.,"Christie's New York: Thursday, July 30, 2020 [Lot 00074]
Latin American Art",Bought In,"25,000 - 35,000 USD ?"
Rafael Coronel,The Jingling of Segovia,oil on canvas,1965,Height 55.2 in.; Width 39.5 in. / Height 140.3 cm.; Width 100.3 cm.,"Christie's New York: Thursday, July 30, 2020 [Lot 00090]
Latin American Art",Bought In,"20,000 - 30,000 USD ?"
Fernando de Szyszlo,Punchao,acrylic on canvas,1983,Height 58.3 in.; Width 46.5 in. / Height 148 cm.; Width 118.1 cm.,"Christie's New York: Thursday, July 30, 2020 [Lot 00094]
Latin American Art",Bought In,"40,000 - 60,000 USD ?"
Zilia Sanchez,Untitled,oil on canvas,1965,Height 33.5 in.; Width 36 in. / Height 85.1 cm.; Width 91.4 cm.,"Christie's New York: Thursday, July 30, 2020 [Lot 00097]
Latin American Art","56,250 USD Premium","50,000 - 70,000 USD ?"
Antonio Seguí,Texture,acrylic and fabric collage on canvas,1990-1991,Height 51.2 in.; Width 63.8 in. / Height 130 cm.; Width 162 cm.,"Christie's New York: Thursday, July 30, 2020 [Lot 00114]
Latin American Art",Bought In,"60,000 - 80,000 USD ?"
Roberto Matta,Les orienteurs,oil on canvas,1964,Height 45.1 in.; Width 57.1 in. / Height 114.6 cm.; Width 145.1 cm.,"Christie's New York: Thursday, July 30, 2020 [Lot 00010]
Latin American Art","125,000 USD Premium","100,000 - 150,000 USD ?"
Roberto Matta,L'exampleur,oil on canvas,1949,Height 56.1 in.; Width 78.3 in. / Height 142.6 cm.; Width 198.8 cm.,"Christie's New York: Thursday, July 30, 2020 [Lot 00046]
Latin American Art","325,000 USD Premium","280,000 - 350,000 USD ?"
Victor Manuel,Muchacha con gato blanco,oil on canvas,Height 20.7 in.; Width 17.8 in. / Height 52.5 cm.; Width 45.2 cm.,"Christie's New York: Thursday, July 30, 2020 [Lot 00057]
Latin American Art",Bought In,,
José Chávez Morado,Dos mujeres,oil on masonite,1949,Height 36 in.; Width 30 in. / Height 91.4 cm.; Width 76.2 cm.,"Christie's New York: Thursday, July 30, 2020 [Lot 00076]
Latin American Art",Bought In,"25,000 - 30,000 USD ?"
Roberto Matta,Une douleur nécessaire,oil on canvas,1959,Height 31.8 in.; Width 39.3 in. / Height 80.7 cm.; Width 99.7 cm.,"Christie's New York: Thursday, July 30, 2020 [Lot 00088]
Latin American Art","68,750 USD Premium","60,000 - 80,000 USD ?"
Olga Albizu,Untitled,oil on canvas,1971,Height 42.1 in.; Width 42.1 in. / Height 107 cm.; Width 107 cm.,"Christie's New York: Thursday, July 30, 2020 [Lot 00099]
Latin American Art",Bought In,"50,000 - 70,000 USD ?"
Omar Rayo,Velamen del Wayúu VIII,acrylic on canvas,1992,Height 55 in.; Width 55 in. / Height 139.7 cm.; Width 139.7 cm.,"Christie's New York: Thursday, July 30, 2020 [Lot 00102]
Latin American Art","27,500 USD Premium","25,000 - 35,000 USD ?"
Mariana Palma,Untitled,oil and acrylic on canvas,2013,Height 39.5 in.; Width 39.3 in. / Height 100.3 cm.; Width 99.7 cm.,"20,000 - 30,000 USD ?",,"20,000 USD Premium ?"
Peruvian School (18),Nuestra Señora de Copacabana,oil on canvas,Height 53 in.; Width 60.2 in. / Height 134.6 cm.; Width 153 cm.,"Christie's New York: Thursday, July 30, 2020 [Lot 00120]
Latin American Art","250,000 USD Premium ?",,
Anonymous-Peruvian(18),Archangel Asiel (Arcabucero),oil on canvas,Height 65.5 in.; Width 43.5 in. / Height 166.4 cm.; Width 110.5 cm.,"Christie's New York: Thursday, July 30, 2020 [Lot 00124]
Latin American Art","15,000 USD Premium ?",,
Andean School (18),"Nuestra Señora de la Merced, La Peregrina",oil on canvas,Height 56.3 in.; Width 39.3 in. / Height 142.9 cm.; Width 99.7 cm.,"Christie's New York: Thursday, July 30, 2020 [Lot 00126]
Latin American Art",Bought In,,
Peruvian School-Cuzco (18),La Virgen del Rosario,oil on canvas,Height 73.5 in.; Width 61 in. / Height 186.7 cm.; Width 154.9 cm.,"Christie's New York: Thursday, July 30, 2020 [Lot 00128]
Latin American Art","30,000 USD Premium ?",,
Anonymous-Peruvian(18),"Saint Michael, Archangel; Guardian Angel",oil on canvas,Height 55.9 in.; Width 40.2 in. / Height 142 cm.; Width 102 cm.,"Christie's New York: Thursday, July 30, 2020 [Lot 00130]
Latin American Art","60,000 USD Premium ?",,
Carmen Herrera,Noche de Salamanca (Castilla),acrylic on canvas,2009,Height 72 in.; Width 72 in. / Height 183 cm.; Width 183 cm.,"Christie's New York: Thursday, July 30, 2020 [Lot 00020]
Latin American Art",Bought In,"700,000 - 900,000 USD ?"
Roberto Matta,Youniverse,oil on canvas,1955,Height 45.1 in.; Width 57.1 in. / Height 114.6 cm.; Width 145.1 cm.,"Christie's New York: Thursday, July 30, 2020 [Lot 00026]
Latin American Art","175,000 USD Premium","100,000 - 150,000 USD ?"
Roberto Matta,Untitled,oil on canvas,Circa 1954,Height 24.3 in.; Width 28.7 in. / Height 61.6 cm.; Width 73 cm.,"50,000 - 70,000 USD ?",,"52,500 USD Premium ?"
Alice Rahon,Luna de octubre,oil on canvas,1948,Height 32 in.; Width 39.3 in. / Height 81.3 cm.; Width 99.7 cm.,"Christie's New York: Thursday, July 30, 2020 [Lot 00053]
Latin American Art","106,250 USD Premium","60,000 - 80,000 USD ?"
Joaquín Torres-García,Untitled,oil on cardboard,Circa 1919-1920,Height 10.2 in.; Width 13.3 in. / Height 26 cm.; Width 33.7 cm.,"Christie's New York: Thursday, July 30, 2020 [Lot 00062]
Latin American Art","8,125 USD Premium","10,000 - 15,000 USD ?"
Roberto Matta,"La bête incendiée (also known as The Incendiary Beast, Study for On the Fringes of Dreaming)",oil on canvas,1957,Height 31.8 in.; Width 39.3 in. / Height 80.7 cm.; Width 99.7 cm.,"80,000 - 120,000 USD ?",,"81,250 USD Premium ?"
Lilia Carrillo,Puentes varios No. 1,oil on canvas,1957,Height 27.6 in.; Width 39.4 in. / Height 70 cm.; Width 100 cm.,"Christie's New York: Thursday, July 30, 2020 [Lot 00083]
Latin American Art","68,750 USD Premium","25,000 - 35,000 USD ?"
Roberto Matta,Untitled,oil on canvas,1969,Height 100 in.; Width 164.8 in. / Height 254 cm.; Width 418.5 cm.,"120,000 - 180,000 USD ?",,Bought In
